"/Company Home/Sites/bampfa/documentLibrary/Media/.DS_Store","workspace://SpacesStore/17b19ef7-3535-46a5-9a14-69300cf4cf9c",".DS_Store","application/octet-stream","15364","","","","","","","","","","","Fri Mar 20 14:08:42 PDT 2015","","Tue Jan 08 14:53:53 PST 2013","","pcavagnaro","pcavagnaro","","","","","","","","","","","","","","","","","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/.DS_Store","workspace://SpacesStore/e2da0fba-38c8-4783-af73-abb0bfe0895c",".DS_Store","application/octet-stream","6148","","","","","","","","","","","Tue Mar 18 12:03:11 PDT 2014","","Wed Oct 09 12:15:02 PDT 2013","","dena.beard","dena.beard","","","","","","","","","","","","","","","","","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1954.4/bampfa_1954-4_001_3.jpeg","workspace://SpacesStore/2b311da6-3dd4-44d6-a34f-15ac968d5d44","bampfa_1954-4_001_3.jpeg","image/jpeg","158236","","","","","","","","","Behold Now Behemoth Which I Made with Thee","Blake, William","Wed Oct 08 17:24:45 PDT 2014","","Wed Oct 08 17:24:43 PDT 2014","ARTIST: Blake, William NATIONALITY: Great Britain DATE_OF_WORK: 1825 MATERIALS: engraving DIMENSIONS: 8 x 6 in. CREDIT_LINE: Gift of Mr. and Mrs. Ansley K. Salz","233023","233023","","","594","","","","","","","","","","1","","","768","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1968.24/bampfa_1968-24_001_4.tiff","workspace://SpacesStore/40a3e48e-e005-4536-9bdf-0d09c738343e","bampfa_1968-24_001_4.tiff","image/tiff","50082132","","","","","","","","","Grief (La Douleur)","Maillol, Aristide","Tue Jun 10 11:26:15 PDT 2014","","Fri Feb 14 13:44:35 PST 2014","ARTIST: Maillol, Aristide NATIONALITY: France DATE_OF_WORK: 1917-1927 MATERIALS: bronze DIMENSIONS:  CREDIT_LINE: Gift of the Norton Simon Foundation","233023","305462","","","4788","","Apple Image Capture","600","600","Perfection 4490","","Inch","","EPSON","1","","","6031","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1969.26/bampfa_1969-26_001_3.jpeg","workspace://SpacesStore/c20072e8-a048-4101-ab60-46c36bb1a26e","bampfa_1969-26_001_3.jpeg","image/jpeg","2211522","","","","","","","","","M 48 1968","Fangor, Wojciech","Tue Jun 10 11:28:44 PDT 2014","","Fri Mar 07 14:08:56 PST 2014","ARTIST: Fangor, Wojciech NATIONALITY: Poland DATE_OF_WORK: 1968 MATERIALS: oil on canvas DIMENSIONS: 79 x 92 -1/4 CREDIT_LINE: Gift of Mr. and Mrs. Leonard S. Field","233023","305462","","","4000","","","","","","","","","","","","","3000","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1970.3/bampfa_1970-3_001_1.tiff","workspace://SpacesStore/e388ce81-dbde-4940-9b63-b27a21ca946c","bampfa_1970-3_001_1.tiff","image/tiff","21823868","","","","","","","","","Duo","Magritte, Rene","Wed Oct 08 17:26:30 PDT 2014","","Wed Oct 08 17:26:25 PDT 2014","ARTIST: Magritte, Rene NATIONALITY: Belgium DATE_OF_WORK: 1928 MATERIALS: Brush and India ink on paper DIMENSIONS: 19-1/4 x 23-1/4 in. CREDIT_LINE: Museum Purchase","233023","233023","","","3008","","Adobe Photoshop CS3 Macintosh","600","600","","","Inch","","","1","","","2416","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1970.65/bampfa_1970-65_001_4.tiff","workspace://SpacesStore/d4b79d82-0595-4f50-8872-0a5b011da46b","bampfa_1970-65_001_4.tiff","image/tiff","35522447","","","","","","","","","Loïe Fuller","Larche, François-Raoul","Tue Jun 10 11:26:16 PDT 2014","","Fri Feb 14 13:44:48 PST 2014","ARTIST: Larche, François-Raoul NATIONALITY: France DATE_OF_WORK: 1896-1906 MATERIALS: gilt bronze lamp, with two light bulbs, electrical cord, and plug DIMENSIONS: 18 -1/4 x 9 -1/4 x 9 CREDIT_LINE: Museum Purchase","233023","305462","","","4148","","Apple Image Capture","600","600","EPSON Perfection 4490","","Inch","","","1","","","5342","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1970.68/bampfa_1970-68_001_4.tiff","workspace://SpacesStore/58bc57b9-aa89-40fa-a2f3-ed9d32e8ef07","bampfa_1970-68_001_4.tiff","image/tiff","1756037","","","","","","","","","Hollywood","Ruscha, Edward","Tue Jun 03 14:57:06 PDT 2014","","Tue Jun 03 14:55:05 PDT 2014","ARTIST: Ruscha, Edward NATIONALITY: United States DATE_OF_WORK: 1968 MATERIALS: silkscreen DIMENSIONS:  CREDIT_LINE: University of California, Berkeley Art Museum and Pacific Film Archive; Gift of the Phoenix Collection of Graphic Art","233023","233023","","","1592","","Apple Image Capture","1200","1200","Perfection V500","","Inch","","EPSON","1","","","665","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1970.84/bampfa_1970-84_001_4.tiff","workspace://SpacesStore/a50b4347-0e69-4af3-b36c-77933cf0f10e","bampfa_1970-84_001_4.tiff","image/tiff","6110706","","","","","","","","","Shadow Repair for the Western Man","Allan, William","Tue Jun 10 11:26:16 PDT 2014","","Fri Feb 14 13:44:52 PST 2014","ARTIST: Allan, William NATIONALITY: United States DATE_OF_WORK: 1970 MATERIALS: oil on canvas DIMENSIONS: 90 x 114 CREDIT_LINE: Purchase with the aid of funds from the National Endowment for the Arts","233023","305462","","","1632","","","1200","1200","","","Inch","","","1","","","1247","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1970.94/bampfa_1970-94_001_3.jpeg","workspace://SpacesStore/5462fe39-2331-46f0-941e-93bf88ea9a59","bampfa_1970-94_001_3.jpeg","image/jpeg","2488847","","","","","","","","","Directions","Ortman, George","Tue Jun 10 11:28:44 PDT 2014","","Fri Mar 07 14:10:05 PST 2014","ARTIST: Ortman, George NATIONALITY: United States DATE_OF_WORK: 1964 MATERIALS:  DIMENSIONS: 15 x 15 x 5 CREDIT_LINE: Gift of Martin Price","233023","305462","","","4000","","","","","","","","","","","","","3000","","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1972.105/bampfa_1972-105_001_4.tiff","workspace://SpacesStore/d4ab0122-7505-42b6-a158-1f030f4814a2","bampfa_1972-105_001_4.tiff","image/tiff","136481756","","","","","","","","","Confessions for Myself","Chase-Riboud, Barbara","Tue Jun 10 10:14:08 PDT 2014","","Fri Feb 14 13:40:25 PST 2014","ARTIST: Chase-Riboud, Barbara NATIONALITY: United States DATE_OF_WORK: 1972 MATERIALS: bronze, paint, wool DIMENSIONS: 120 x 40 x 12 CREDIT_LINE: Purchased with funds from the H. W. Anderson Charitable Foundation","233023","305462","","","5686","600","Adobe Photoshop CS4 Windows","300","300","Model Super6k","","Inch","0.0416666667","Better Light","1","","","8000","Tue May 08 14:24:42 PDT 2012","",""
"/Company Home/Sites/bampfa/documentLibrary/Media/BAM_collection_artwork_images/1972.79.1/bampfa_1972-79-1_001_3.jpeg","workspace://SpacesStore/50dc0d98-1b4b-4c59-9852-94a05b00b9bb","bampfa_1972-79-1_001_3.jpeg","image/jpeg","209653","","","","","","","","","Dr. Wright, Montague, Massachusetts","Field, Erastus Salisbury","Tue Apr 22 17:43:00 PDT 2014","","Tue Apr 22 17:42:58 PDT 2014","ARTIST: Field, Erastus Salisbury NATIONALITY: United States DATE_OF_WORK: 1831-1841 MATERIALS: oil on canvas DIMENSIONS: 24 -3/8 x 21 -3/4 CREDIT_LINE: Gift of the Collection of Mr. and Mrs. W. B. Carnochan","233023","233023","","","755","","Apple Image Capture","800","800","Perfection V500","","Inch","","EPSON","1","","","915","","",""
